,df_index,region,income,family_member,gender,year_born,education_level,marriage,religion,occupation,company_size,reason_none_worker,age
0,21,Seoul,2330.0,1,female,1945,4,2,religious,0,0,no_intention_to_work,73
1,35,Seoul,815.0,1,male,1948,3,2,non-religious,0,0,giving_up_economic_activities,70
2,49,Seoul,2116.0,1,male,1942,7,3,religious,762,2,employed,76
3,64,Seoul,5008.0,5,male,1962,6,1,religious,855,3,employed,56
4,88,Kyeong-gi,1332.0,1,female,1940,3,2,religious,999,1,employed,78
5,106,Seoul,2039.0,2,female,1970,5,3,religious,0,0,house_worker,48
6,122,Seoul,1590.0,2,male,1940,4,1,non-religious,0,0,no_intention_to_work,78
7,139,Seoul,499.0,1,male,1962,6,5,religious,0,0,giving_up_economic_activities,56
8,153,Seoul,6751.0,4,male,1978,7,1,non-religious,312,3,employed,40
9,167,Seoul,3572.0,2,male,1941,5,1,religious,0,0,no_intention_to_work,77
10,181,Seoul,1687.0,1,male,1964,3,5,non-religious,0,0,giving_up_economic_activities,54
11,195,Seoul,1027.0,1,female,1940,2,2,non-religious,0,0,no_intention_to_work,78
12,210,Seoul,3003.0,1,male,1975,7,5,religious,521,1,employed,43
13,216,Seoul,7054.0,2,male,1978,5,1,non-religious,151,1,employed,40
14,246,Seoul,7577.0,3,male,1961,4,1,non-religious,783,1,employed,57
15,260,Seoul,8433.0,4,male,1952,5,1,non-religious,910,7,employed,66
16,274,Seoul,2532.0,1,female,1961,4,3,religious,951,1,employed,57
17,278,Seoul,3909.0,2,male,1984,7,1,non-religious,531,1,employed,34
18,294,Jeju,2310.0,1,male,1971,7,5,non-religious,873,1,employed,47
19,314,Seoul,1195.0,1,male,1943,3,2,non-religious,0,0,no_intention_to_work,75
20,355,Seoul,3336.0,2,female,1945,3,2,non-religious,0,0,nursing,73
21,380,Seoul,7243.0,4,male,1972,7,1,religious,0,0,no_intention_to_work,46
22,394,Seoul,6490.0,2,female,1954,4,3,non-religious,421,1,employed,64
23,409,Seoul,1140.0,1,female,1941,3,2,religious,0,0,no_intention_to_work,77
24,466,Seoul,5323.0,3,male,1972,7,1,non-religious,313,3,employed,46
25,480,Seoul,1513.0,2,male,1926,5,1,non-religious,0,0,no_intention_to_work,92
26,494,Seoul,3903.0,2,male,1968,5,5,non-religious,842,3,employed,50
27,508,Kyeong-gi,3721.0,4,male,1976,5,1,religious,873,3,employed,42
28,526,Seoul,1323.0,1,female,1937,3,3,religious,0,0,giving_up_economic_activities,81
29,543,Seoul,3386.0,2,female,1942,4,2,non-religious,0,0,no_intention_to_work,76
30,557,Seoul,4369.0,3,male,1973,5,1,non-religious,510,4,employed,45
31,571,Seoul,7603.0,4,male,1959,4,1,non-religious,852,2,employed,59
32,590,Seoul,6650.0,3,male,1955,4,1,non-religious,991,7,employed,63
33,607,Seoul,13253.0,4,male,1968,5,1,religious,312,7,employed,50
34,619,Seoul,11022.0,4,male,1973,8,1,religious,312,7,employed,45
35,641,Chong-nam,4835.0,2,male,1950,5,1,religious,991,1,employed,68
36,665,Seoul,6183.0,2,male,1930,4,1,non-religious,0,0,no_intention_to_work,88
37,693,Seoul,3413.0,2,female,1962,4,2,religious,422,1,employed,56
38,707,Seoul,6869.0,4,female,1959,7,2,religious,0,0,no_intention_to_work,59
39,725,Chong-nam,8483.0,3,female,1982,5,5,non-religious,921,2,employed,36
40,755,Chong-nam,6369.0,2,male,1975,5,5,non-religious,761,3,employed,43
41,769,Seoul,12777.0,3,male,1947,7,1,religious,851,3,employed,71
42,784,Seoul,13557.0,5,male,1954,4,1,religious,0,0,employed,64
43,819,Seoul,1264.0,1,female,1946,5,2,non-religious,0,0,giving_up_economic_activities,72
44,833,Seoul,3171.0,4,male,1965,5,1,religious,721,1,employed,53
45,848,Seoul,5874.0,4,male,1958,5,1,religious,772,3,employed,60
46,849,Gang-won & Chung-buk,3960.0,2,male,1979,6,1,non-religious,742,7,employed,39
47,863,Seoul,4713.0,3,male,1960,4,1,religious,941,5,employed,58
48,868,Kyeong-gi,4297.0,4,male,1987,7,1,religious,863,2,employed,31
49,882,Kyeong-gi,4485.0,4,male,1961,3,3,non-religious,910,8,employed,57
50,896,Seoul,2097.0,2,male,1967,5,3,non-religious,521,1,employed,51
51,910,Seoul,3083.0,1,female,1937,4,2,non-religious,0,0,giving_up_economic_activities,81
52,938,Seoul,1999.0,2,male,1935,4,1,non-religious,0,0,no_intention_to_work,83
53,952,Seoul,2550.0,2,male,1936,4,1,non-religious,0,0,no_intention_to_work,82
54,968,Seoul,3642.0,2,male,1957,4,1,non-religious,792,2,employed,61
55,969,Kyeong-gi,2640.0,1,male,1983,6,5,non-religious,899,4,employed,35
56,983,Seoul,7036.0,2,male,1950,3,1,non-religious,873,6,employed,68
57,1001,Seoul,11156.0,4,male,1962,5,1,non-religious,431,1,employed,56
58,1015,Seoul,11723.0,2,male,1959,5,1,non-religious,875,1,employed,59
59,1016,Kyeong-gi,3216.0,1,female,1990,7,5,non-religious,312,7,employed,28
60,1030,Seoul,6289.0,3,male,1954,6,1,non-religious,862,7,employed,64
61,1049,Seoul,3786.0,6,male,1971,4,1,non-religious,0,0,giving_up_economic_activities,47
62,1063,Seoul,1076.0,1,female,1939,2,2,non-religious,0,0,no_intention_to_work,79
63,1079,Seoul,4932.0,2,female,1954,4,1,religious,521,1,employed,64
64,1085,Kyeong-gi,7048.0,4,male,1978,6,1,non-religious,311,10,employed,40
65,1107,Seoul,5383.0,4,male,1942,4,1,religious,0,0,no_intention_to_work,76
66,1121,Seoul,6832.0,3,male,1980,7,1,non-religious,222,7,employed,38
67,1161,Chong-nam,2224.0,1,female,1957,4,3,non-religious,421,5,employed,61
68,1176,Seoul,4076.0,2,female,1943,4,2,religious,941,2,employed,75
69,1190,Seoul,6130.0,2,male,1960,5,1,non-religious,314,8,employed,58
70,1211,Seoul,1346.5,1,female,1943,2,2,religious,941,1,employed,75
71,1232,Seoul,8569.0,4,male,1968,7,1,non-religious,799,2,employed,50
72,1247,Seoul,4104.0,2,male,1958,5,1,religious,721,5,employed,60
73,1254,Seoul,3971.0,3,male,1986,6,1,non-religious,159,2,employed,32
74,1268,Seoul,5721.0,3,male,1966,5,1,religious,862,2,employed,52
75,1282,Seoul,6325.0,4,male,1974,5,1,non-religious,953,2,employed,44
76,1296,Seoul,4794.0,2,male,1959,5,1,non-religious,741,2,employed,59
77,1312,Seoul,9996.0,4,male,1960,7,1,non-religious,941,7,employed,58
78,1326,Seoul,3645.0,2,female,1960,3,4,religious,951,1,employed,58
79,1340,Seoul,2764.0,2,female,1943,5,4,religious,941,7,employed,75
80,1354,Seoul,7743.0,4,male,1959,4,1,non-religious,873,1,employed,59
81,1368,Seoul,1251.0,1,male,1938,5,3,non-religious,0,0,no_intention_to_work,80
82,1389,Seoul,3186.0,2,male,1964,4,5,non-religious,751,1,employed,54
83,1403,Seoul,6329.0,4,male,1969,7,1,non-religious,312,6,employed,49
84,1415,Seoul,1128.0,1,female,1939,3,2,religious,0,0,no_intention_to_work,79
85,1433,Kyeong-gi,6178.0,3,male,1966,9,1,religious,251,9,employed,52
86,1447,Seoul,2401.0,1,male,1965,2,5,religious,0,0,giving_up_economic_activities,53
87,1464,Seoul,5506.0,2,female,1958,5,3,religious,521,1,employed,60
88,1478,Seoul,937.0,1,male,1938,4,2,non-religious,0,0,no_intention_to_work,80
89,1499,Seoul,1150.0,1,female,1942,3,2,religious,0,0,giving_up_economic_activities,76
90,1513,Seoul,1682.0,2,male,1925,3,1,non-religious,0,0,no_intention_to_work,93
91,1530,Seoul,1449.0,1,female,1953,5,2,religious,0,0,no_intention_to_work,65
92,1542,Seoul,7681.0,4,male,1978,7,1,religious,753,10,employed,40
93,1545,Kyeong-gi,9073.0,2,male,1979,7,1,non-religious,312,10,employed,39
94,1559,Seoul,972.0,1,female,1946,3,3,non-religious,0,0,no_intention_to_work,72
95,1573,Seoul,921.0,1,male,1957,3,5,non-religious,0,0,no_intention_to_work,61
96,1592,Seoul,738.0,1,female,1934,3,2,religious,941,3,employed,84
97,1623,Seoul,2039.0,1,female,1958,4,1,religious,951,1,employed,60
98,1631,Seoul,14952.0,4,male,1975,7,1,religious,311,10,employed,43
99,1637,Kyeong-gi,6437.0,3,male,1984,5,1,non-religious,761,4,employed,34
100,1656,Kyeong-gi,1550.0,2,male,1945,7,3,non-religious,0,0,giving_up_economic_activities,73
101,1675,Seoul,5008.0,2,female,1957,5,2,religious,951,1,employed,61
